hhid,time,nutrition,spending,cash,urban,married
9,0,0.96,36.69,1,1,0
9,1,0.83,8.37,1,1,0
16,0,-0.19,112.44,1,1,0
16,1,0.53,7.62,1,1,0
17,0,0.33,28.85,1,1,1
17,1,0.68,38.14,1,1,1
23,0,0.39,46.95,1,1,0
23,1,-0.16,20.02,1,1,0
27,0,0.55,107.81,1,1,0
27,1,-0.46,18.44,1,1,0
30,0,0.59,18.89,1,1,1
30,1,0.72,35.91,1,1,1
40,0,-0.84,15.11,1,1,0
40,1,-0.51,32.49,1,1,0
43,0,0.82,52.40,1,1,0
43,1,0.83,29.38,1,1,0
48,0,0.17,15.98,1,1,1
48,1,0.04,24.82,1,1,1
49,0,-0.96,40.08,1,1,1
49,1,0.40,41.11,1,1,1
58,0,0.06,32.52,1,1,0
58,1,0.83,40.68,1,1,0
68,0,0.47,43.74,1,1,1
68,1,0.40,118.11,1,1,1
71,0,0.47,56.79,1,1,1
71,1,0.21,34.37,1,1,1
72,0,0.96,28.95,1,1,0
72,1,-0.33,37.70,1,1,0
83,0,0.04,17.04,1,1,1
83,1,-0.01,26.88,1,1,1
84,0,-1.11,23.36,1,1,1
84,1,-1.61,17.10,1,1,1
94,0,0.96,5.04,1,1,1
94,1,0.83,29.73,1,1,1
99,0,-0.93,63.02,1,1,1
99,1,0.53,9.84,1,1,1
106,0,0.47,17.40,1,1,0
106,1,0.83,-0.40,1,1,0
113,0,0.45,9.09,1,1,0
113,1,0.10,9.89,1,1,0
115,0,0.47,49.69,1,1,0
115,1,0.41,16.91,1,1,0
116,0,-0.05,25.72,1,1,1
116,1,-0.31,36.71,1,1,1
120,0,-0.33,45.11,1,1,0
120,1,0.38,6.29,1,1,0
122,0,-0.40,38.63,1,1,1
122,1,0.40,89.78,1,1,1
123,0,0.47,7.58,1,1,0
123,1,0.18,42.92,1,1,0
126,0,-0.78,95.26,1,1,1
126,1,-0.73,93.11,1,1,1
130,0,-0.78,47.86,1,1,1
130,1,0.38,10.43,1,1,1
131,0,-0.75,33.89,1,1,0
131,1,-0.50,35.06,1,1,0
135,0,-0.23,37.10,1,1,1
135,1,-0.05,43.16,1,1,1
141,0,-0.23,22.90,1,1,0
141,1,1.01,9.44,1,1,0
142,0,0.53,37.79,1,1,0
142,1,-1.08,119.88,1,1,0
148,0,0.47,69.62,1,1,1
148,1,-0.31,12.23,1,1,1
160,0,0.47,29.77,1,1,1
160,1,-0.31,64.51,1,1,1
162,0,0.47,9.57,1,1,1
162,1,-2.43,18.92,1,1,1
173,0,-0.75,32.06,1,1,1
173,1,-1.01,29.05,1,1,1
174,0,0.47,39.85,1,1,1
174,1,-0.03,28.02,1,1,1
177,0,0.04,21.76,1,1,0
177,1,0.83,11.94,1,1,0
179,0,1.15,52.12,1,1,0
179,1,-0.05,6.61,1,1,0
190,0,-2.01,14.20,1,1,0
190,1,-1.77,6.30,1,1,0
199,0,-2.22,71.45,1,1,0
199,1,-0.91,21.90,1,1,0
204,0,-0.78,33.43,1,1,0
204,1,-0.46,32.50,1,1,0
208,0,-2.72,17.18,1,1,0
208,1,0.40,21.19,1,1,0
221,0,0.47,100.30,1,1,0
221,1,0.23,138.06,1,1,0
226,0,0.39,14.15,1,1,0
226,1,0.83,14.68,1,1,0
230,0,0.96,30.92,1,1,1
230,1,0.83,79.53,1,1,1
233,0,0.06,2.38,1,1,0
233,1,-0.26,24.77,1,1,0
238,0,-0.10,39.62,1,1,0
238,1,0.53,11.23,1,1,0
241,0,-0.84,37.19,1,1,0
241,1,0.41,29.40,1,1,0
242,0,-0.23,48.46,1,1,0
242,1,-0.46,54.83,1,1,0
243,0,0.82,10.35,1,1,0
243,1,1.01,23.58,1,1,0
250,0,0.96,38.24,1,1,1
250,1,-0.31,25.12,1,1,1
251,0,0.06,45.34,1,1,0
251,1,0.40,28.15,1,1,0
252,0,0.17,22.44,1,1,0
252,1,0.38,-2.49,1,1,0
261,0,0.45,25.19,1,1,0
261,1,-0.54,45.75,1,1,0
266,0,0.19,20.84,1,1,0
266,1,0.40,20.04,1,1,0
275,0,0.96,1.10,1,1,0
275,1,0.83,40.11,1,1,0
281,0,-0.86,39.62,1,1,0
281,1,0.10,80.26,1,1,0
289,0,0.47,65.27,1,1,0
289,1,-0.79,59.02,1,1,0
291,0,-0.97,21.76,1,1,0
291,1,0.07,32.75,1,1,0
295,0,-0.23,24.05,1,1,0
295,1,0.83,3.43,1,1,0
297,0,0.59,54.96,1,1,1
297,1,0.45,41.45,1,1,1
302,0,-0.55,24.73,1,1,0
302,1,1.01,21.08,1,1,0
303,0,0.66,58.40,1,1,1
303,1,-0.46,50.63,1,1,1
311,0,0.74,58.17,1,1,1
311,1,0.40,38.50,1,1,1
326,0,-0.23,23.13,1,1,0
326,1,0.72,-2.63,1,1,0
330,0,0.06,109.46,1,1,1
330,1,0.53,1.83,1,1,1
335,0,-1.62,32.98,1,1,1
335,1,0.40,48.32,1,1,1
344,0,0.47,17.54,1,1,0
344,1,0.83,8.45,1,1,0
349,0,0.34,46.03,1,1,0
349,1,-0.01,42.81,1,1,0
354,0,-0.37,14.15,1,1,0
354,1,0.40,38.14,1,1,0
356,0,-0.05,6.64,1,1,0
356,1,0.68,25.41,1,1,0
360,0,0.04,49.69,1,1,0
360,1,0.40,30.33,1,1,0
363,0,0.96,57.25,1,1,0
363,1,0.38,33.40,1,1,0
373,0,0.47,30.92,1,1,0
373,1,-0.31,30.33,1,1,0
374,0,0.33,32.98,1,1,0
374,1,-0.11,2.69,1,1,0
375,0,0.47,119.54,1,1,0
375,1,0.40,6.14,1,1,0
378,0,-0.23,37.56,1,1,1
378,1,-0.51,53.41,1,1,1
381,0,0.47,18.00,1,1,0
381,1,0.40,25.84,1,1,0
384,0,0.47,13.74,1,1,0
384,1,0.53,13.17,1,1,0
388,0,0.04,62.65,1,1,1
388,1,0.83,61.83,1,1,1
400,0,0.53,43.65,1,1,1
400,1,0.83,20.06,1,1,1
412,0,-1.18,55.88,1,1,0
412,1,-0.71,64.38,1,1,0
413,0,0.88,20.15,1,1,1
413,1,0.38,13.74,1,1,1
417,0,0.47,19.47,1,1,0
417,1,0.83,9.64,1,1,0
420,0,0.96,73.05,1,1,0
420,1,-1.30,23.17,1,1,0
427,0,-1.03,9.80,1,1,0
427,1,0.26,22.10,1,1,0
428,0,0.06,10.08,1,1,0
428,1,0.40,31.75,1,1,0
438,0,-1.52,32.47,1,1,0
438,1,0.40,38.71,1,1,0
451,0,0.82,242.05,1,1,0
451,1,0.83,54.69,1,1,0
465,0,0.26,23.13,1,1,0
465,1,-0.71,5.71,1,1,0
467,0,-0.08,35.72,1,1,0
467,1,-0.76,31.18,1,1,0
469,0,0.47,11.63,1,1,0
469,1,-0.01,31.83,1,1,0
472,0,0.96,34.95,1,1,1
472,1,0.40,27.34,1,1,1
475,0,0.26,58.20,1,1,0
475,1,0.53,57.67,1,1,0
478,0,0.19,69.62,1,1,1
478,1,1.01,43.09,1,1,1
482,0,0.06,114.27,1,1,1
482,1,0.10,62.15,1,1,1
484,0,0.47,34.58,1,1,0
484,1,-0.05,47.54,1,1,0
488,0,-0.23,6.82,1,1,1
488,1,0.10,36.94,1,1,1
489,0,1.02,25.69,1,1,0
489,1,-0.01,13.47,1,1,0
490,0,0.17,24.27,1,1,0
490,1,0.10,40.23,1,1,0
492,0,0.33,16.90,1,1,0
492,1,0.10,12.20,1,1,0
501,0,-0.75,146.56,1,1,0
501,1,0.10,64.27,1,1,0
502,0,0.47,15.43,1,1,0
502,1,0.40,61.65,1,1,0
512,0,0.88,19.92,1,1,0
512,1,0.40,34.50,1,1,0
523,0,0.04,13.51,1,1,0
523,1,1.01,6.99,1,1,0
526,0,0.06,23.59,1,1,1
526,1,1.01,42.61,1,1,1
527,0,-0.99,75.75,1,1,0
527,1,-1.16,58.10,1,1,0
531,0,0.41,4.90,1,1,0
531,1,0.83,10.40,1,1,0
535,0,0.11,7.28,1,0,1
535,1,0.11,7.05,1,0,1
549,0,1.03,17.22,1,0,1
549,1,-0.96,43.83,1,0,1
550,0,-0.03,34.81,1,0,1
550,1,0.36,30.61,1,0,1
556,0,-0.60,20.43,1,0,0
556,1,0.62,1.62,1,0,0
566,0,0.21,2.08,1,0,1
566,1,1.00,17.83,1,0,1
574,0,0.31,12.37,1,0,0
574,1,-0.22,15.22,1,0,0
578,0,0.47,6.64,1,0,1
578,1,-2.18,34.82,1,0,1
604,0,0.23,14.43,1,0,1
604,1,1.00,11.75,1,0,1
635,0,-0.46,9.57,1,0,1
635,1,1.34,13.39,1,0,1
640,0,0.08,29.63,1,0,1
640,1,-0.40,28.57,1,0,1
653,0,0.57,19.64,1,0,1
653,1,-0.04,16.42,1,0,1
656,0,0.93,5.68,1,0,1
656,1,-0.03,5.17,1,0,1
662,0,-0.21,28.35,1,0,0
662,1,0.60,14.23,1,0,0
668,0,-0.59,18.59,1,0,1
668,1,0.60,15.93,1,0,1
703,0,0.47,8.98,1,0,1
703,1,0.21,11.53,1,0,1
716,0,-0.39,12.60,1,0,0
716,1,1.00,14.12,1,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
